"player_name","club_name","goals","assists","player_group"
"Hugo Bueno","Wolves","0","0","Current player"
"Jonny Otto","Wolves","0","0","Current player"
"Matheus Nunes","Wolves","0","0","Current player"
"Matheus Cunha","Wolves","12","7","New player"
"Jean-Ricner Bellegarde","Wolves","2","1","New player"
"Sasa Kalajdzic","Wolves","2","0","New player"
"Matt Doherty","Wolves","1","0","New player"
"Boubacar Traoré","Wolves","0","0","New player"
"Fábio Silva","Wolves","0","0","New player"
"Enso González","Wolves","0","0","New player"
"Nathan Fraser","Wolves","0","0","New player"
"Santiago Bueno","Wolves","0","0","New player"
"Tommy Doyle","Wolves","0","0","New player"
